FeatureID	GoldSet MethodID Position	GoldSetMethodID	LSI+Dyn GoldSetMethodID Rank - All Ranks	LSI+Dyn GoldSetMethodID Rank - Best Rank
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()		
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()		
 	-1	org.gjt.sp.jedit.buffer.UndoManager.bufferSaved()		
 	5648	org.gjt.sp.jedit.buffer.UndoManager.resetClearDirty()	26	
1575505	5304	org.gjt.sp.jedit.textarea.TextArea.joinLines()	249	249
 	-1	org.gjt.sp.jedit.textarea.TextArea.joinLines(Selection)		
 	5356	org.gjt.sp.jedit.textarea.TextArea.joinLineAt(int)	317	
1576535	1556	org.gjt.sp.jedit.EditPane.loadCaretInfo()	41	41
1578785	4256	org.gjt.sp.jedit.PerspectiveManager.savePerspective(boolean)		2
 	4260	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.attribute(String,String)		
 	4262	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.endElement(String,String,String)		
 	614	org.gjt.sp.jedit.Buffer.getAutoReload()	3	
 	615	org.gjt.sp.jedit.Buffer.setAutoReload(boolean)	6	
 	616	org.gjt.sp.jedit.Buffer.getAutoReloadDialog()	2	
 	617	org.gjt.sp.jedit.Buffer.setAutoReloadDialog(boolean)	5	
 	-1	org.gjt.sp.jedit.Buffer.Buffer(String,boolean,boolean,Hashtable)		
 	770	org.gjt.sp.jedit.gui.BufferOptions.BufferOptions(View,Buffer)		
 	771	org.gjt.sp.jedit.gui.BufferOptions.ok()		
 	773	org.gjt.sp.jedit.gui.BufferOptions.ActionHandler.actionPerformed(ActionEvent)		
 	2759	org.gjt.sp.jedit.jEdit.checkBufferStatus(View)	82	
 	766	org.gjt.sp.jedit.options.BufferOptionPane.BufferOptionPane()		
 	767	org.gjt.sp.jedit.options.BufferOptionPane._init()		
 	768	org.gjt.sp.jedit.options.BufferOptionPane._save()		
 	769	org.gjt.sp.jedit.options.BufferOptionPane.ActionHandler.actionPerformed(ActionEvent)		
 	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	10	
 	1965	org.gjt.sp.jedit.options.GeneralOptionPane._save()	8	
1584436	-1	org.gjt.sp.jedit.textarea.Anchor.preContentRemoved(int,int)		
1589360	5404	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleClick(MouseEvent)	8	8
 	5409	org.gjt.sp.jedit.textarea.TextAreaMouseHandler.doSingleDrag(MouseEvent)	37	
1593359	2431	org.gjt.sp.jedit.gui.InputHandler.processKeyEvent(KeyEvent,int,boolean)	9	9
1593375	1870	org.gjt.sp.jedit.gui.FilteredListModel.FilteredListModel(E)	29	2
 	1871	org.gjt.sp.jedit.gui.FilteredListModel.setList(JList)	139	
 	1872	org.gjt.sp.jedit.gui.FilteredListModel.getDelegated()		
 	1873	org.gjt.sp.jedit.gui.FilteredListModel.setDelegated(E)		
 	1874	org.gjt.sp.jedit.gui.FilteredListModel.resetFilter()	3	
 	1875	org.gjt.sp.jedit.gui.FilteredListModel.setFilter(String)	10	
 	1876	org.gjt.sp.jedit.gui.FilteredListModel.prepareFilter(String)		
 	1877	org.gjt.sp.jedit.gui.FilteredListModel.saveSelection()	623	
 	1878	org.gjt.sp.jedit.gui.FilteredListModel.restoreSelection(Set<Integer>)	681	
 	1879	org.gjt.sp.jedit.gui.FilteredListModel.getTrueRow(int)	96	
 	1880	org.gjt.sp.jedit.gui.FilteredListModel.getInternal2ExternalRow(int)		
 	1881	org.gjt.sp.jedit.gui.FilteredListModel.getElementAt(int)	677	
 	1882	org.gjt.sp.jedit.gui.FilteredListModel.getSize()	11	
 	1883	org.gjt.sp.jedit.gui.FilteredListModel.contentsChanged(ListDataEvent)		
 	1884	org.gjt.sp.jedit.gui.FilteredListModel.intervalAdded(ListDataEvent)	4	
 	1885	org.gjt.sp.jedit.gui.FilteredListModel.intervalRemoved(ListDataEvent)		
 	3255	org.gjt.sp.jedit.gui.LogViewer.LogViewer()	8	
 	3261	org.gjt.sp.jedit.gui.LogViewer.setFilter()	2	
1593389	5779	org.gjt.sp.jedit.browser.VFSBrowser.delete(VFSFile[])	5	2
 	1847	org.gjt.sp.jedit.io.FileVFS.recursiveDelete(File)	2	
 	1861	org.gjt.sp.jedit.io.FileVFS._delete(Object,String,Component)	6	
1593464	1803	org.gjt.sp.jedit.browser.FileCellRenderer.getIconForFile(VFSFile,boolean,boolean)	5	1
 	1804	org.gjt.sp.jedit.browser.FileCellRenderer.propertiesChanged()	13	
 	1841	org.gjt.sp.jedit.io.FileVFS.getParentOfPath(String)	262	
 	1852	org.gjt.sp.jedit.io.FileVFS.LocalFile.getIcon(boolean,boolean)	1	
 	5882	org.gjt.sp.jedit.io.VFSFile.getIcon(boolean)	7	
 	5883	org.gjt.sp.jedit.io.VFSFile.getIcon(boolean,boolean)	8	
 	5884	org.gjt.sp.jedit.io.VFSFile.getDefaultIcon(boolean,boolean)	12	
 	5885	org.gjt.sp.jedit.io.VFSFile.getDefaultIcon(boolean)	2	
 	319	org.gjt.sp.jedit.options.BrowserOptionPane._init()	26	
 	320	org.gjt.sp.jedit.options.BrowserOptionPane._save()	55	
1593523	2314	org.gjt.sp.jedit.search.HyperSearchOperationNode.restoreFlatNodes(JTree,DefaultMutableTreeNode)	11	11
1593526	2355	org.gjt.sp.jedit.search.HyperSearchResults.removeSelectedNode()	56	56
1593543	642	org.gjt.sp.jedit.Buffer.setMode()	618	128
 	728	org.gjt.sp.jedit.BufferHistory.setEntry(String,int,Selection[],String,String)	629	
 	732	org.gjt.sp.jedit.BufferHistory.save()	143	
 	725	org.gjt.sp.jedit.BufferHistory.Entry.Entry(String,int,String,String,String)	1451	
 	740	org.gjt.sp.jedit.BufferHistory.RecentHandler.endElement(String,String,String)		
 	1555	org.gjt.sp.jedit.EditPane.saveCaretInfo()	319	
 	2743	org.gjt.sp.jedit.jEdit._closeBuffer(View,Buffer)	132	
 	2745	org.gjt.sp.jedit.jEdit.closeAllBuffers(View,boolean)	128	
 	-1	org.gjt.sp.jedit.jEdit.composeBufferPropsFromHistory(Hashtable,String)		
1593576	2903	org.gjt.sp.jedit.buffer.JEditBuffer.indentLine(int,boolean)	1	1
 	2906	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int,int,int)	7	
 	2905	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)	9	
 	4997	org.gjt.sp.util.StandardUtilities.truncateWhiteSpace(int,int,String)	5	
1593735	3709	org.gjt.sp.jedit.gui.OptionsDialog.valueChanged(TreeSelectionEvent)	18	9
 	3710	org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)	9	
 	-1	org.gjt.sp.jedit.gui.OptionsDialog.selectPane(OptionGroup,String,List)		
 	3716	org.gjt.sp.jedit.gui.OptionsDialog.PaneNameRenderer.getTreeCellRendererComponent(JTree,Object,boolean,boolean,boolean,int,boolean)	42	
1594234	3699	org.gjt.sp.jedit.OptionGroup.insertionSort(String,Object)		3
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	5	
 	4757	org.gjt.sp.jedit.search.SearchBar.incrementalSearch(int,boolean)	3	
 	4758	org.gjt.sp.jedit.search.SearchBar.timerIncrementalSearch(int,boolean)	12	
1594910	637	org.gjt.sp.jedit.Buffer.propertiesChanged()		8
 	3527	org.gjt.sp.jedit.Mode.getIndentRules()	8	
 	3528	org.gjt.sp.jedit.Mode.isElectricKey(char)		
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	25	
 	3530	org.gjt.sp.jedit.Mode.createRegexpIndentRule(String)	20	
 	3531	org.gjt.sp.jedit.Mode.createBracketIndentRules(String,List<IndentRule>)	23	
 	2866	org.gjt.sp.jedit.buffer.JEditBuffer.JEditBuffer(Map)		
 	2867	org.gjt.sp.jedit.buffer.JEditBuffer.JEditBuffer()		
 	2905	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)	18	
 	2911	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char)		
 	2912	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char,int)		
 	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	9	
 	3020	org.gjt.sp.jedit.textarea.JEditTextArea.userInput(char)		
1599024	4639	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.updateEveryTime()		1
 	4640	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.update(JMenu)	4	
 	4641	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.actionPerformed(ActionEvent)	1	
1599709	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	325	325
1600401	5548	org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean)	560	560
1601718	4724	org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()	28	16
 	4729	org.gjt.sp.jedit.search.SearchAndReplace.hyperSearch(View,boolean)		
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	46	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)		
 	4735	org.gjt.sp.jedit.search.SearchAndReplace.replaceAll(View)	16	
 	4742	org.gjt.sp.jedit.search.SearchAndReplace.record(View,String,boolean,boolean)	21	
1608486	1576	org.gjt.sp.jedit.EditPane.initPainter(TextAreaPainter)	166	1
 	5418	org.gjt.sp.jedit.options.TextAreaOptionPane._init()	27	
 	5419	org.gjt.sp.jedit.options.TextAreaOptionPane._save()	106	
 	5440	org.gjt.sp.jedit.textarea.TextAreaPainter.isThickCaretEnabled()		
 	5441	org.gjt.sp.jedit.textarea.TextAreaPainter.setThickCaretEnabled(boolean)	1	
 	5481	org.gjt.sp.jedit.textarea.TextAreaPainter.PaintCaret.paintValidLine(Graphics2D,int,int,int,int,int)	16	
1608948	5825	org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor.processFocusEvent(FocusEvent)	1	1
