FeatureID	GoldSet MethodID Position	GoldSetMethodID	VSM+Dyn GoldSetMethodID Rank - All Ranks	VSM+Dyn GoldSetMethodID Rank - Best Rank
 	4751	org.gjt.sp.jedit.search.SearchBar.SearchBar(View,boolean)	2	
 	4757	org.gjt.sp.jedit.search.SearchBar.incrementalSearch(int,boolean)	3	
 	4758	org.gjt.sp.jedit.search.SearchBar.timerIncrementalSearch(int,boolean)	14	
1594910	637	org.gjt.sp.jedit.Buffer.propertiesChanged()		13
 	3527	org.gjt.sp.jedit.Mode.getIndentRules()	13	
 	3528	org.gjt.sp.jedit.Mode.isElectricKey(char)		
 	3529	org.gjt.sp.jedit.Mode.initIndentRules()	25	
 	3530	org.gjt.sp.jedit.Mode.createRegexpIndentRule(String)	19	
 	3531	org.gjt.sp.jedit.Mode.createBracketIndentRules(String,List<IndentRule>)	24	
 	2866	org.gjt.sp.jedit.buffer.JEditBuffer.JEditBuffer(Map)		
 	2867	org.gjt.sp.jedit.buffer.JEditBuffer.JEditBuffer()		
 	2905	org.gjt.sp.jedit.buffer.JEditBuffer.getIdealIndentForLine(int)	22	
 	2911	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char)		
 	2912	org.gjt.sp.jedit.buffer.JEditBuffer.isElectricKey(char,int)		
 	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	16	
 	3020	org.gjt.sp.jedit.textarea.JEditTextArea.userInput(char)		
1599024	4639	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.updateEveryTime()		1
 	4640	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.update(JMenu)	3	
 	4641	org.gjt.sp.jedit.menu.ReloadWithEncodingProvider.actionPerformed(ActionEvent)	1	
1599709	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	406	406
1600401	5548	org.gjt.sp.jedit.syntax.TokenMarker.handleRule(ParserRule,boolean)	511	511
1601718	4724	org.gjt.sp.jedit.search.SearchAndReplace.getSearchMatcher()	27	22
 	4729	org.gjt.sp.jedit.search.SearchAndReplace.hyperSearch(View,boolean)		
 	4730	org.gjt.sp.jedit.search.SearchAndReplace.find(View)	67	
 	4733	org.gjt.sp.jedit.search.SearchAndReplace.replace(View)		
 	4735	org.gjt.sp.jedit.search.SearchAndReplace.replaceAll(View)	22	
 	4742	org.gjt.sp.jedit.search.SearchAndReplace.record(View,String,boolean,boolean)	30	
1608486	1576	org.gjt.sp.jedit.EditPane.initPainter(TextAreaPainter)	145	1
 	5418	org.gjt.sp.jedit.options.TextAreaOptionPane._init()	28	
 	5419	org.gjt.sp.jedit.options.TextAreaOptionPane._save()	82	
 	5440	org.gjt.sp.jedit.textarea.TextAreaPainter.isThickCaretEnabled()		
 	5441	org.gjt.sp.jedit.textarea.TextAreaPainter.setThickCaretEnabled(boolean)	1	
 	5481	org.gjt.sp.jedit.textarea.TextAreaPainter.PaintCaret.paintValidLine(Graphics2D,int,int,int,int,int)	10	
1608948	5825	org.gjt.sp.jedit.browser.VFSBrowser.HistoryComboBoxEditor.processFocusEvent(FocusEvent)	1	1
1611766	2987	org.gjt.sp.jedit.buffer.JEditBuffer.getIndentRules(int)	1	1
1617509	1975	org.gjt.sp.jedit.io.GlobVFSFileFilter.accept(VFSFile)	15	15
 	1979	org.gjt.sp.jedit.io.GlobVFSFileFilter.setGlob(String)	384	
1620694	722	org.gjt.sp.jedit.textarea.BufferHandler.delayUpdate(int,int)	669	31
 	5109	org.gjt.sp.jedit.textarea.TextArea.TextArea(IPropertyManager,InputHandlerProvider)		
 	5128	org.gjt.sp.jedit.textarea.TextArea.setBuffer(JEditBuffer)	71	
 	5317	org.gjt.sp.jedit.textarea.TextArea.propertiesChanged()	524	
 	5325	org.gjt.sp.jedit.textarea.TextArea.foldStructureChanged()		
 	5333	org.gjt.sp.jedit.textarea.TextArea.finishCaretUpdate(int,int,boolean)	31	
 	5420	org.gjt.sp.jedit.textarea.TextAreaPainter.setBounds(int,int,int,int)	42	
 	5468	org.gjt.sp.jedit.textarea.TextAreaPainter.paint(Graphics)	255	
1628053	1547	org.gjt.sp.jedit.EditPane.setBuffer(Buffer,boolean)	18	18
 	853	org.gjt.sp.jedit.gui.BufferSwitcher.updateBufferList()	22	
1630805	4137	org.gjt.sp.jedit.syntax.ParserRule.createSequenceRule(int,String,ParserRuleSet,byte)		170
 	4139	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(String,int,String,ParserRuleSet,byte,boolean)		
 	4140	org.gjt.sp.jedit.syntax.ParserRule.createRegexpSequenceRule(int,char[],String,ParserRuleSet,byte,boolean)		
 	4150	org.gjt.sp.jedit.syntax.ParserRule.createEscapeRule(String)		
 	4151	org.gjt.sp.jedit.syntax.ParserRule.toString()		
 	5546	org.gjt.sp.jedit.syntax.TokenMarker.markTokens(LineContext,TokenHandler,Segment)	170	
 	5547	org.gjt.sp.jedit.syntax.TokenMarker.checkDelegateEnd(ParserRule)	311	
1638642	2068	org.gjt.sp.jedit.GUIUtilities.initContinuousLayout(JSplitPane)	1	1
 	-1	org.gjt.sp.jedit.GUIUtilities.SizeSaver.SizeSaver(Frame,String)		
 	5995	org.gjt.sp.jedit.View.split(int)	3	
 	6037	org.gjt.sp.jedit.View.restoreSplitConfig(Buffer,String)		
 	6038	org.gjt.sp.jedit.View.propertiesChanged()	20	
 	321	org.gjt.sp.jedit.browser.BrowserView.BrowserView(VFSBrowser)	31	
 	332	org.gjt.sp.jedit.browser.BrowserView.propertiesChanged()	2	
 	341	org.gjt.sp.jedit.browser.BrowserView.TableMouseHandler.mouseClicked(MouseEvent)		
 	3710	org.gjt.sp.jedit.gui.OptionsDialog.init(String,String)	15	
 	4620	org.gjt.sp.jedit.gui.RegisterViewer.RegisterViewer(View,String)		
 	4622	org.gjt.sp.jedit.gui.RegisterViewer.handleMessage(EBMessage)		
 	4627	org.gjt.sp.jedit.gui.RegisterViewer.refreshList()		
 	2212	org.gjt.sp.jedit.help.HelpViewer.HelpViewer(String)		
 	2217	org.gjt.sp.jedit.help.HelpViewer.handleMessage(EBMessage)		
 	189	org.gjt.sp.jedit.options.AppearanceOptionPane._init()	43	
 	190	org.gjt.sp.jedit.options.AppearanceOptionPane._save()	48	
 	2456	org.gjt.sp.jedit.pluginmgr.InstallPanel.InstallPanel(PluginManager,boolean)		
 	2460	org.gjt.sp.jedit.pluginmgr.InstallPanel.formatSize(int)		
1641997	1964	org.gjt.sp.jedit.options.GeneralOptionPane._init()	36	36
1642574	1575	org.gjt.sp.jedit.EditPane.propertiesChanged()	98	16
 	6065	org.gjt.sp.jedit.options.ViewOptionPane._init()	16	
 	6066	org.gjt.sp.jedit.options.ViewOptionPane._save()	29	
1645528	4261	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.skipRemote(String)	85	85
 	4262	org.gjt.sp.jedit.PerspectiveManager.PerspectiveHandler.endElement(String,String,String)	134	
